Name,Industry,Size,Postcode,LADCD
"Freddie's Flowers","Other retail sale",250-999,SW18 4UQ,E09000032
"Hunt's Food Group Ltd","Food products",250-999,DT9 3NJ,E06000059
"Travel Matters Ltd.","Travel agency & related",1-9,SW12 8BG,E09000032
"Modern","Advertising & market research",10-49,BS2 8PE,E06000023
"Ragged Edge","Other info service activities",10-49,EC1N 8HN,E09000007
"Satis Wealth Mangement (Satis Asset Management)","Investment advising",10-49,sw1y 5jg,E09000033
"North South Wines Ltd","Beverages",10-49,UB7 7PS,E09000017
"4Zero.io Limited","Other professional, scientific & tech",0,E1 5JL,E09000030
"SURI","Personal care products",1-9,W1W 7LT,E09000033
"Once Upon A Time","Advertising & market research",50-249,EC1R 0QB,E09000019
"Appsbroker Limited","Computer programming services",50-249,SN1 3EB,E06000030
"Play It Green","Membership organizations",0,M25 3DZ,E08000002
"Electric Peach Limited","Other professional, scientific & tech",1-9,EC2A 4NE,E09000012
"Crystal Doors","Wood & wood products",10-49,OL11 2PX,E08000005
"Diversifying Group","Employment placement & HR",10-49,EC3N 2PJ,E09000001
"Pagoda Projects","Other education",10-49,M2 3NX,E08000003
"Materialise Interiors","Spec design (non-building)",0,BN2 3PH,E06000043
"Bold Bean Co","Food products",1-9,W6 0NB,E09000013
"Kerry Lemon Ltd","Arts & entertainment",0,BN1 4TA,E06000043
"Flotilla Group Limited","Other info service activities",1-9,HG1 1EP,E06000065
"Rathfinny Wine Estate","Agricultural Processing",50-249,BN26 5TU,E07000065
"Funkin Cocktails","Beverages",10-49,NW1 7HP,E09000007
"Green Power Solutions Ltd","Other renewable energy installation",1-9,TR1 2NA,E06000052
"Cognassist UK Limited","Software publishing and SaaS platforms",50-249,NE12 8EG,E08000022
"Bind Media Ltd","Advertising & market research",10-49,BA2 3NE,E06000022
"We Are Hattrick Ltd","Other info service activities",1-9,M35EQ,E08000006
"Matthew Radley & Associates Limited","Other personal services",1-9,GU6 7GB,E07000216
"Levin Sources","Other professional, scientific & tech",10-49,CB22 5LD,E07000012
"FatFace Limited","Apparel",1000+,PO9 1QJ,E07000090
"Pretty Clever Studio Ltd","Other info service activities",1-9,BH1 3SN,E06000058
"Grantify LTD","Management  consultant - for-profits",10-49,W1F 0DQ,E09000033
"Torchbox","Web portals",50-249,OX7 3EW,E07000181
"Formative Content","Social networks & info sharing",50-249,HP9 1QN,E06000060
"Crosta & Mollica","Food products",10-49,SW4 6BB,E09000022
"BITMORE LIMITED","Computers & electronics",1-9,WD18 8PH,E07000103
"Seed Group","Social networks & info sharing",10-49,HR60ND,E06000019
"Tala","Electrical equipment",10-49,E2 9DG,E09000030
"Cambridge Commodities","Food products",50-249,CB6 3NX,E07000009
"UK for Good Ltd","Management  consultant - for-profits",0,CW6 0PG,E06000050
"Minerva Money Management Limited","Investment advising",1-9,MK4 1GA,E06000042
"QuoLux","Management  consultant - for-profits",1-9,GL3 1JZ,E07000083
"Twelve Futures Ltd","Environmental consulting",0,BS3 1QU,E06000023
"Exposure Ninja","Advertising & market research",50-249,NG2 6BT,E07000176
"PYTCH Agency","Arts & entertainment",10-49,BS4 5EN,E06000023
"Richmond & Towers","Advertising & market research",10-49,EC1M 5RR,E09000019
"Soleil Marketing","Other professional, scientific & tech",0,ME8 9RX,E06000035
"Rin Hamburgh & Co Ltd","Advertising & market research",1-9,BS8 1DJ,E06000023
"SRA Architects","Architecture design & planning",10-49,BA1 3DS,E06000022
"Maia Growth Partners Ltd","Management  consultant - for-profits",0,BH24 1EL,E07000091
"Bull & Wolf","Film, TV & music production",1-9,TR10 8AE,E06000052
"Naturally Social","Advertising & market research",1-9,SN13 9BL,E06000054
"Flexworks HR® Consulting Ltd","Other professional, scientific & tech",0,BS16 7FR,E06000025
"Adventure Tours UK","Other personal services",1-9,CH7 4TB,W06000004
"Daylesford Organic & Bamford","Food products",250-999,SW3 2EA,E09000020
"Sanctus London Limited","Other human health",10-49,EC2A 3JT,E09000012
"Dock & Bay Ltd","Textiles",10-49,SE1 0LH,E09000028
"RUSSAM GMS LIMITED","Employment placement & HR",1-9,LU1 2SJ,E06000032
"Fussy","Personal care products",1-9,E2 6GG,E09000030
"High Speed Training Limited","Other education",50-249,LS29 8JZ,E08000032
"Includability - The Home of Inclusive Organisations","Employment placement & HR",1-9,RG7 2JB,E07000084
"Yard Associates Ltd","Advertising & market research",50-249,CF10 3AG,W06000015
"Collabor8te","Other business support",1-9,G1 1RE,S12000049
"Everleaf Drinks","Beverages",10-49,SE1 3XF,E09000028
"ThinK Wine Group","Beverages",1-9,L1 6AF,E08000012
"Nanogreen Sustainable Facilities Management","Other personal services",10-49,SN2 1NR,E06000030
"Legacy Media International Ltd","Advertising & market research",0,WC2H 7HF,E09000033
"Espresso Service Ltd","Other business support",10-49,WD6 1QQ,E07000098
"The Good Agency Group Limited","Advertising & market research",50-249,SE1 0BS,E09000028
"Runway Training","Education & training services",10-49,TN9 1BE,E07000115
"Really Good Beer Society","Beverages",0,EC2A 4NE,E09000012
"Content Communications Associates Ltd.","Advertising & market research",1-9,BA14 6RL,E06000054
"Mitheridge Capital Management LLP","Architecture design & planning",10-49,W1J 5JF,E09000033
"Dreamore Ltd (trading as JustWears)","Textiles",1-9,SE1 1DN,E09000028
"Kreston Reeves LLP","Accounting & auditing",250-999,CT1 2TU,E07000106
"Jack & Grace","Other professional, scientific & tech",1-9,PE4 5BN,E06000031
"Beeble Liquor Ltd","Beverages",1-9,SN16 9HP,E06000054
"The Invisible Collection Ltd","Furniture",10-49,NW16DD,E09000033
"Across the Pond","Advertising & market research",10-49,W1D 4SN,E09000033
"Rio Nuevo Chocolate","Food products",1-9,TR10 9DU,E06000052
"You + I (Clever Kombucha Ltd.)","Beverages",1-9,G5 0TS,S12000049
"Stanhope PLC","Real estate development",50-249,WC1A 1HB,E09000007
"The Furniture Practice","Furniture",50-249,EC1V 3AG,E09000019
"Here We Flo Ltd","Personal care products",10-49,E2 8DD,E09000012
"MTHK Limited","General retail via Internet",0,EC1V 3AJ,E09000019
"Uprise Up","Advertising & market research",10-49,HP5 1PS,E06000060
"Harrison Brands","Advertising & market research",0,CR0 6JL,E09000008
"Ingle & Rhode Ltd","Jewelry & related articles",1-9,W1U 1JW,E09000033
"GEL Studios Ltd","Computer programming services",10-49,SN3 4UQ,E06000030
"Access VC Limited","Equity investing - Developed Markets",10-49,W2 1AY,E09000033
"Learning Pool","Software publishing and SaaS platforms",250-999,BT48 7EL,N09000005
"Navigate","Advertising & market research",10-49,BS1 4XE,E06000023
"Felix Capital Partners LLP","Equity investing - Developed Markets",10-49,W1F 9RU,E09000033
"Cobry Ltd","Data processing & hosting",10-49,G3 7NG,S12000049
"Marvel FMCG Ltd","Employment placement & HR",1-9,GL2 2AT,E07000081
"MMRG Ltd","Data processing & hosting",10-49,GU1 3RR,E07000209
"Ninth Seat","Other personal services",10-49,EC1V 1LR,E09000019
"Meanwhile Drinks","Beverages",0,E84NL,E09000012
"Special Projects","Mobile applications",1-9,TW10 6AS,E09000027
"Clarendon Fund Managers","Equity investing - Developed Markets",10-49,BT1 5EA,N09000003
"onegreenbottle ltd","General retail via Internet",1-9,BN42 4BW,E07000223
"Oxbow Partners","Other financial services",10-49,EC2N 3AR,E09000001
"Bohill Partners Limited","Other professional, scientific & tech",10-49,W1W 8AJ,E09000033
"Bullion Productions Limited","Film, TV & music production",10-49,N1 7UX,E09000012
"Sparta Global Limited","Other info service activities",250-999,EC2Y 5AS,E09000001
"Cooper Parry","Other financial services",250-999,Cooper Parry,
"The Tartan Blanket Co.","Textiles",10-49,EH6 5LJ,S12000036
"DSG Group","Other financial services",50-249,SK3 0UX,E08000007
"Absolute Collagen Group","Personal care products",10-49,W1D4EG,E09000033
"Black Isle Brewing Co Ltd","Beverages",50-249,IV8 8NZ,S12000017
"Earth Squared Ltd","Other/general wholesale trade",1-9,EH39 4AE,S12000010
"Beer52","Beverages",50-249,EH3 7JA,S12000036
"Caplor Energy","Other renewable energy installation",10-49,HR1 4PT,E06000019
"Unifrog Education Ltd","Other education",50-249,E28HD,E09000012
"Water Babies Group Limited","Other sports",10-49,EX5 1FY,E07000040
"Firetail","Management consultant - nonprofits",1-9,E2 6GG,E09000030
"Olsights","Other professional, scientific & tech",1-9,TW8 8BD,E09000018
"YRS TRULY","Advertising & market research",1-9,E8 3RL,E09000012
"Naturalmat","Furniture",10-49,EX3 0PD,E07000040
"Rheal Superfoods","Food products",10-49,SR5 3NZ,E08000024
"Petalon Limited","Growing non-perennial crops",10-49,TR8 5QR,E06000052
"Stand4 Socks","Apparel",1-9,M4 5AD,E08000003
"Sladen Consulting","Management  consultant - for-profits",10-49,S33 1AZ,
"Agility Eco Services Limited","Environmental consulting",50-249,SM2 5BN,E09000029
"KKP Holdings Ltd","Personal care products",10-49,DH1 1ST,E06000047
"DH-PR Ltd","Other personal services",10-49,N1 4EN,E09000012
"Brett Nicholls Associates","Accounting & auditing",1-9,G20 6NB,S12000049
"Foilco Limited","Printing & recorded media",10-49,WA3 2BP,E08000010
"FERO HOLDINGS LIMITED","Printing & recorded media",50-249,SG6 1LD,E07000099
"Simba Sleep","Furniture",50-249,BS1 6EG,E06000023
"Pow Food","Event catering & related",10-49,NW10 6HJ,E09000009
"The Boatyard Distillery Ltd","Beverages",10-49,BT937DX,N09000006
"Cubitts","Other retail sale",50-249,N79QH,E09000019
"Priory Direct","Other retail sale",10-49,ME20 7FE,E07000115
"Optimising IT","Other professional, scientific & tech",10-49,GL2 9PG,E07000083
"ORCA","Advertising & market research",1-9,BS4 3AP,E06000023
"Simply Washrooms ltd","Facilities & cleaning services",10-49,CM16 6FJ,E07000072
"Executive Integrity","Other professional, scientific & tech",10-49,so143xb,E06000045
"Fourfront Group","Other install & construction",50-249,SL4 1RS,E06000040
"Plank Hardware","Other retail sale",10-49,E107QP,E09000031
"Saul D Humphrey LLP","Management  consultant - for-profits",0,NR3 1RQ,E07000148
"AKT II","Civil engineering",250-999,EC1Y 8AF,E09000019
"Workplace Futures Group Limited","Contracting & building",50-249,SW1P 1PH,E09000033
"Holland Harvey Architects","Architecture design & planning",10-49,E2 9DG,E09000030
"Futureheads Recruitment Ltd","Other professional, scientific & tech",50-249,EC1R 0DE,E09000019
"Bambino Mio","Apparel",50-249,NN6 9EU,E06000062
"Nkuku Ltd","General retail via Internet",50-249,TQ9 6JB,E07000044
"The Barton Partnership","Other personal services",50-249,WC1V 6BX,E09000007
"Krystal Hosting Ltd","Data processing & hosting",50-249,EC1V 2NX,E09000019
"POINT3 Wellbeing","Other human health",1-9,W1W 5PF,E09000033
"Minikin Collective by Canela Studio Limited","Other retail sale",1-9,NR66BB,E07000148
"Rock Solid Knowledge","Other professional, scientific & tech",10-49,BS16 1GW,E06000025
"Tactical Solutions FS Limited","Advertising & market research",50-249,CH5 3YE,W06000005
"Meteo Holdco Limited","Other professional, scientific & tech",50-249,M2 3AW,E08000003
"ELEMIS","Personal care products",250-999,BS11 0DD,E06000023
"Intelligent Waste Management Ltd","Materials recovery & recycling",10-49,RG27 0NY,E07000089
"Ampa Holdings LLP","Legal activities",250-999,B4 6AA,E08000025
"PAD studio Ltd","Architecture design & planning",1-9,SO41 9AP,E07000091
"Wild","Personal care products",10-49,SW96DE,E09000022
"SLX","Rent/lease: other goods",10-49,BS11 8AF,E06000023
"ChicP","Food products",1-9,GL7 5RX,E07000079
"Inhabit Hotels","Accommodation",10-49,W2 1JQ,E09000033
"Rocketmakers","Mobile applications",50-249,BA1 1JW,E06000022
"Switchee Ltd","Electrical equipment",10-49,SE1 9EQ,E09000028
"iKhofi Ltd","Beverages",10-49,SW19 2TJ,E09000024
"Climate Change Coaches","Management  consultant - for-profits",0,OX1 4ST,E07000178
"Magic Foundry Limited (trading as Ooni)","Machinery & equipment",50-249,EH52 5LH,S12000040
"Envisage Dental","Medical & dental practice",50-249,RG24 8PE,E07000084
"Moo Free Ltd","Food products",50-249,EX22 7SH,E07000046
"The Dragonfly Agency Limited","Advertising & market research",10-49,EH3 7AU,S12000036
"Manifest","Advertising & market research",50-249,EC1R 5DX,E09000007
"Natilik Corporation Ltd","Other info service activities",50-249,EC2M4YN,E09000001
"Accouter Group of Companies","Other retail sale",50-249,W1T 3JH,E09000033
"BRAND EVANGELISTS FOR BEAUTY LTD","Personal care products",50-249,NG3 4GN,E06000018
"The Trampery","Facilities & cleaning services",10-49,EC1V 9EY,E09000012
"Pure Table Top","Other/general wholesale trade",10-49,LE7 9WE,E07000131
"Supple Studio Ltd","Spec design (non-building)",1-9,BA2 3FT,E06000022
"Aila Recruitment Limited","Employment placement & HR",1-9,LU1 4FU,E06000056
"Fiils Beauty Limited","Personal care products",1-9,N1 7GU,E09000012
"ThisAbility® Limited","Management  consultant - for-profits",0,EC1V 2NX,E09000019
"AEW Ventures Ltd","Architecture design & planning",50-249,M2 6HY,E08000003
"Raylo Group Ltd","Electrical equipment",50-249,EC4A 3TW,E09000001
"DataGardener Solutions Limited","Data processing & hosting",1-9,SO509FD,E07000086
"Kelly's Storage","Other transport equipment",10-49,GU1 1SB,E07000209
"TFT","Architecture design & planning",50-249,EC1N 2LE,E09000001
"North Six Europe Limited","Photography",10-49,E27EY,E09000030
"Shape History","Management consultant - nonprofits",10-49,NW51AG,E09000007
"Stephens Scown LLP","Legal activities",250-999,EX1 1RS,E07000041
"giffgaff","Computers & electronics",50-249,UB8 1HB,E09000017
"Buttress Architects Ltd","Architecture design & planning",50-249,M4 6AF,E08000003
"First Milk Limited","Agricultural Processing",50-249,G2 1AL,S12000049
"Gripple Limited","Other manufacturing",250-999,S4 7UQ,E08000019
"Haeckels","Personal care products",10-49,CT9 1RP,E07000114
"Matter of Focus","Software publishing and SaaS platforms",10-49,EH3 9DR,S12000036
"Modern Milkman Ltd","Food products",50-249,BB8 9BJ,E07000122
"Major Players","Employment placement & HR",50-249,WC2B 5LB,E09000007
"The Rooflight Co.","Construction",50-249,GL54 2HQ,E07000079
"Bridgehouse Company Secretaries Limited","Other professional, scientific & tech",10-49,EC4V 4EG,E09000001
"New Ground Group Ltd.","Beverages",1-9,OX3 7BU,E07000178
"Space Group","Architecture design & planning",50-249,NE77LX,E08000021
"Mercuri LLP","Equity investing - Developed Markets",1-9,N1 9GU,E09000019
"Metis Consultants Ltd","Engineering",50-249,TW91AE,E09000027
"Lovers Agency Limited","Advertising & market research",1-9,E8 3PN,E09000012
"Amba","Other business support",10-49,BS35 3QH,E06000025
"Recycling Lives Holdings","Materials recovery & recycling",250-999,PR1 1QE,E07000123
"Bespoke - Advice Limited","Other financial services",10-49,WR1 1HD,E07000237
"Kemosabe","Advertising & market research",1-9,EC1R 0NE,E09000019
"Atypical Partner","Equity investing - Developed Markets",50-249,W1D 3QR,E09000033
"W Real Estate Ltd","Real estate development",1-9,W1D 3DH,E09000033
"Ellandi Management Limited","Real estate - leased property",10-49,W1T 3QH,E09000033
"Zebra Growth","Advertising & market research",10-49,EH234fu,S12000019
"Beam Up Ltd","Technology-based support services",50-249,E2 8JF,E09000012
"Triple Point LLP","Equity investing - Developed Markets",50-249,EC4N 7AF,E09000001
"Orean Personal Care Ltd","Personal care products",50-249,BD19 4TT,E08000034
"Votary Limited","Personal care products",1-9,OX2 6PE,E07000178
"Temple Group Ltd","Environmental consulting",50-249,SE1 2NQ,E09000028
"Vanti","Other info service activities",10-49,B1 1JL,E08000025
"ThreeTenSeven (formerly Thompson Brand Partners)","Other professional, scientific & tech",10-49,LS8 2QB,E08000035
"Delilites Ireland Ltd","Food products",50-249,BT343FN,N09000010
"Animal Trust Vets CIC","Veterinary activities",250-999,CH64 5FE,E06000050
"Commercial Foundation","Printing & recorded media",1-9,GL53 0AN,E07000078
"Pangaia Materials Science Limited","Textiles",50-249,WD3 5LH,E07000102
"3ti Energy Hubs","Solar panel installation",10-49,KT22 9AD,E07000210
"Future Arc","Management  consultant - for-profits",10-49,SW1A 2EL,E09000033
"Bike Club","Sports goods",50-249,SE1 4PG,E09000028
"Fifty Fifty Post Production Ltd","Film, TV & music production",10-49,W1F 8EH,E09000033
"N Family Holdings Ltd","Pre- & primary education",250-999,EC2A 3QT,E09000012
"Palatine Private Equity","Equity investing - Developed Markets",10-49,M2 2JT,E08000003
"ACS Clothing Ltd.","Rent/lease: other goods",50-249,ML1 4GP,S12000050
"OrangeDoor","Programming & broadcasting",10-49,BR6 8ES,E09000006
"Verdier & Co. Corporate Advisory","Other financial services",1-9,W1U 7EU,E09000033
"Fearne and Rosie","Food products",1-9,DL8 3UZ,E06000065
"d&b solutions UK Ltd","Electrical equipment",50-249,SW19 3WL,E09000024
"The Heirloom Sauce Company Ltd","Food products",10-49,W114QA,E09000020
"Go M.A.D. Thinking","Other professional, scientific & tech",10-49,LE12 8RS,E07000130
"Sapphire Capital Partners LLP","Equity investing - Developed Markets",1-9,BT9 5JU,N09000003
"IE Brand and IE Digital","Web portals",10-49,B1 3AG,E08000025
"Vigilance Properties Ltd","Other personal services",50-249,SW1W 9LT,E09000033
"Jones Food Company Ltd","Growing non-perennial crops",10-49,DN15 9YJ,E06000013
"Clean for Good","Other personal services",10-49,E1 0BH,E09000030
"Givergy LTD","Software publishing and SaaS platforms",10-49,TW9 2SX,E09000027
"Open Media","Other info service activities",10-49,L3 1HU,E08000012
"We Are Tilt","Other info service activities",10-49,BN1 4GQ,E06000043
"Sacred Spirits Holdings Ltd","Beverages",1-9,N6 5HX,E09000014
"LOVE.","Advertising & market research",50-249,M1 1EY,E08000003
"The Nue Co","Personal care products",10-49,E16PX,E09000030
"Anthony Collins Solicitors LLP","Legal activities",250-999,B3 2ES,E08000025
"Not Another Beer Co Limited trading as Lucky Saint","Beverages",10-49,W14 0LN,E09000013
"Sinewave Energy Solutions Ltd.","Other renewable energy installation",50-249,SN2 8UY,E06000030
"UpCircle Beauty","Personal care products",10-49,SE5 0LH,E09000028
"Aday","Apparel",10-49,WC2R 1LA,E09000033
"LOVE BRAND & Co. Ltd","Apparel",10-49,SW100AJ,E09000020
"Gamban Ltd","Computer programming services",10-49,SO14 3XB,E06000045
"Clock","Computer programming services",10-49,WD4 8RQ,E07000102
"Cult","Advertising & market research",10-49,E1 6JJ,E09000012
"Collective - Digital Creative Agency","Advertising & market research",10-49,EC1R0DE,E09000019
"Tyler Grange Group Limited","Environmental consulting",50-249,GL7 7EX,E07000079
"Dodds and Shute Limited","Other business support",10-49,EC1V 0DS,E09000019
"The Curators","Food products",1-9,N1 7GU,E09000012
"NEOM Ltd","Personal care products",50-249,HG2 8NA,E06000065
"Freed Foods Ltd","Food products",1-9,EC2A 3BA,E09000012
"Balance Me","Personal care products",10-49,EC1R 0EB,E09000019
"Centrus Corporate Finance Ltd","Other financial services",50-249,EC4V 4AB,E09000001
"GUARANTEE LAUNDRIES LIMITED","Laundry & dry-cleaning",50-249,DT10 2RN,E06000059
"Haworth Tompkins","Architecture design & planning",50-249,NW5 1LB,E09000007
"Search Laboratory","Advertising & market research",50-249,LS16 6QG,E08000035
"GrowUp Group and GrowUp Farms","Growing non-perennial crops",10-49,CT13 9FA,E07000108
"The CHAOS Group Cornwall","Other human health",50-249,TR1 1RN,E06000052
"Pieminister","Food products",50-249,BS10 6NF,E06000023
"Aventur Group Limited","Other financial services",1-9,SE1 9BG,E09000028
"Human Forest Limited","Rent/lease: other goods",50-249,SE1 0DN,E09000028
"Crowdcube","Other financial services",50-249,EX1 1TS,E07000041
"The Duppy Share","Beverages",10-49,W2 5EU,E09000033
"Organix Brands Ltd","Food products",50-249,BH2 5LT,E06000058
"Substrakt","Computer programming services",10-49,B1 3EA,E08000025
"Ideal Manufacturing Ltd t/a Fill Refill Co","Cleaning products",10-49,NN9 5HX,E06000061
"ADP Architecture Limited","Architecture design & planning",50-249,SE1 8SB,E09000022
"HewardMills Limited","Management  consultant - for-profits",10-49,EC1M 3JU,E09000007
"The Uplift Partnership","Software publishing and SaaS platforms",0,E179BZ,E09000031
"Whizz Education Limited","Educational support",10-49,W2 1FT,E09000033
"BYBI Beauty","Personal care products",10-49,EC1N 7RJ,E09000007
"Psychopomp Limited","Beverages",1-9,BS2 8DB,E06000023
"4CP","Management  consultant - for-profits",50-249,W6 7JP,E09000013
"Prime plc","Real estate development",10-49,WR5 2QX,E07000237
"RWD","Other professional, scientific & tech",50-249,SO42 7YF,E07000091
"The Nursery Research & Planning Ltd","Advertising & market research",10-49,W1T1HJ,E09000033
"Lodestone Communications","Other professional, scientific & tech",10-49,SE1 3ER,E09000028
"Isle of Wight Distillery","Beverages",10-49,PO33 1PX,E06000046
"Wild Card Public Relations Limited","Other professional, scientific & tech",10-49,SE1 7ND,E09000022
"Stamp Productions","Film, TV & music production",1-9,SW18 4QL,E09000032
"Good Ventures Ltd.","Personal care products",10-49,AL2 2DQ,E07000240
"OGGS","Food products",10-49,SW8 5EL,E09000032
"Redington Limited","Pension/retirement plans",50-249,EC2R 7HJ,E09000001
"The re-wrap Association","Other retail sale",1-9,EC2A 3EJ,E09000012
"Sunhouse Creative","Advertising & market research",10-49,BA2 6AA,E06000022
"Impression Digital Limited","Other info service activities",50-249,NG1 2AS,E06000018
"Ocushield LTD","General retail via Internet",10-49,EC1V 7DO,E09000019
"Lixir Drinks","Beverages",1-9,SW9 9UH,E09000022
"Hilltop Honey LTD","Food products",50-249,SY16 3BD,W06000023
"mark-making*","Advertising & market research",10-49,OX7 5AD,E07000181
"Candy Kittens","Food products",10-49,W6 0ED,E09000013
"We Are Liminal Ltd","Management consultant - nonprofits",1-9,M3 2EN,E08000003
"Piper","Equity investing - Developed Markets",10-49,W8 7AS,E09000020
"Jennings of Garsington Ltd","Real estate - leased property",10-49,OX44 7RW,E07000179
"Bird & Blend Tea Ltd.","Food products",50-249,BN12 4QY,E07000229
"Charter Brands Ltd.","Beverages",1-9,TQ2 5EG,E06000027
"Banana Moon Clothing","Textiles",10-49,WF17 9LN,E08000034
"Sensat","Software publishing and SaaS platforms",50-249,EC1V 3QG,E09000019
"Foodspeed Limited","Food products",10-49,UB4 0TH,E09000017
"Dead Happy Limited","Life insurance",10-49,LE13DL,E06000016
"Muddy Puddles","General retail via Internet",1-9,W1W 7LT,E09000033
"COCO+","Mobile applications",10-49,BS4 3AP,E06000023
"Four Communications Group Ltd","Advertising & market research",250-999,E1 1FX,E09000030
"ProCook","Other retail sale",250-999,GL2 2BY,E07000082
"Plant Meat Limited T/A THIS","Food products",10-49,W10 5JJ,E09000020
"Lava Advisory Partners Limited","Management  consultant - for-profits",1-9,SW1Y 6DN,E09000033
"Berg Kaprow Lewis LLP","Accounting & auditing",50-249,N3 1XW,E09000003
"UMi","Other business support",50-249,DH1 1TW,E06000047
"Mangrove consulting","Management  consultant - for-profits",1-9,N1C 4AG,E09000007
"Fabricsmart t/a Scrummi","Textiles",10-49,ME19 6QH,E07000115
"Emperor","Other info service activities",50-249,E1 8QS,E09000030
"Mina Digital Ltd","Other renewable energy installation",10-49,S7 2AF,E08000019
"Open Creates Ltd","Advertising & market research",10-49,N1 7ED,E09000012
"Hive Cleaning","Facilities & cleaning services",50-249,NW3 5RN,E09000007
"Micro Scooters Ltd","Games & toys",10-49,CO5 8NA,E07000071
"Morgan Innovation & Technology Ltd","Medical & dental supplies",10-49,GU32 3QA,E07000085
"Lick Home","Other retail sale",50-249,SW9 8DJ,E09000022
"SMRS","Advertising & market research",50-249,M4 6BD,E08000003
"RBW Consulting Limited","Employment placement & HR",50-249,RH10 1BF,E07000226
"Wazoku, Ltd","Software publishing and SaaS platforms",50-249,EC3R6HD,E09000001
"Better All Round Ltd / Fibre Revolution Ltd","Paper & paper products",1-9,NG32 3HL,E07000141
"LoveRaw","Food products",10-49,WA14 1EP,E08000009
"december19","Advertising & market research",10-49,EC1R 0AT,E09000019
"Beyondly","Environmental consulting",10-49,BD23 3AN,E06000065
"Stories (Services) Ltd","Real estate development",1-9,W1T 4TQ,E09000007
"Project Blu","Other retail sale",1-9,CF64 4JS,W06000014
"Threesixty Architecture","Architecture design & planning",10-49,G1 1RE,S12000049
"Ridgeview Estate Winery Limited","Growing perennial crops",10-49,BN6 8TP,E07000063
"Olio Exchange Limited","Restaurants & food service",50-249,N8 9RR,E09000014
"LloydsDirect","Pharmaceutical products",50-249,CV2 2TX,E08000026
"Sycous Limited","Machinery & equipment",50-249,LS2 7EA,E08000035
"Agden Consulting Limited","Personal care products",50-249,S20 1DJ,E08000018
"xigxag Limited","Mobile applications",1-9,PL18 9AX,E06000052
"Notepad","Advertising & market research",10-49,B1 3PE,E08000025
"LESTRANGE","Apparel",10-49,WC2H 9LL,E09000007
"Brabners LLP","Legal activities",250-999,L2 3YL,E08000012
"Thrift Plus","Apparel",50-249,LE16 7WB.,E07000131
"Urban Jungle Services Ltd","Non-life insurance",10-49,SW9,
"Net Zero Group","Other professional, scientific & tech",1-9,M3 3EB,E08000003
"Talking Tables","Other/general wholesale trade",50-249,SW4 6JP,E09000022
"Mediatree","Other financial services",10-49,WC1N 3DB,E09000007
"Hawksmoor","Restaurants & food service",250-999,E1 6NN,E09000030
"HemingwayDesign","Spec design (non-building)",10-49,ha98hd,E09000005
"YF","Management  consultant - for-profits",10-49,SW8 5EL,E09000032
"WeWhoDo","Management  consultant - for-profits",1-9,EC2A 4NE,E09000012
"Always Be Content Limited","Advertising & market research",10-49,EH6 4DQ,S12000036
"Neat Home Ltd","Cleaning products",1-9,CV37 6YW,E07000221
"Pennard Practice Ltd","Veterinary activities",50-249,TN13 1XY,E07000111
"C. Hoare & Co.","Deposit bank - Developed Markets",250-999,EC4P 4DQ,E09000019
"dryrobe","Apparel",10-49,EX33 2FB,E07000043
"Berghaus","Apparel",50-249,SR5 3XB,E08000024
"Pai Skincare","Personal care products",50-249,W3 8BL,E09000009
"Anglian Bespoke Corrugated and Packaging Ltd","Paper & paper products",1-9,NR9 5SG,E07000144
"Outfly Innovation Ltd","Advertising & market research",10-49,E3 2XN,E09000030
"Moorish LTD","Food products",1-9,TQ9 5JA,E07000044
"Averil Phillips and Family","Funeral & related services",10-49,NN15 7HH,E06000061
"Kabuto Foods ltd","Food products",1-9,BA10 0AH,E06000066
"Eka Ventures","Equity investing - Developed Markets",1-9,W1F 0UE,E09000033
"Different Dog Ltd","Food products",10-49,SY13TG,E06000051
"Studio XAG","Other manufacturing",10-49,E10 7QE,E09000031
"Istoria Group Ltd","Other personal services",10-49,BS3 4EH,E06000023
"SunGod Ltd","Sports goods",10-49,MK44 3PX,E06000055
"The Jolly Hog Group Ltd","Restaurants & food service",10-49,BS1 6ZA,E06000023
"Liforme","Sports goods",10-49,NW1 0DU,E09000007
"Freight Brokers Ltd","Postal & courier activities",1-9,NW102RJ,E09000005
"Portman Settled Estates Limited","Real estate development",50-249,W1H 6LT,E09000033
"QBS Technology Group Limited","Computer programming services",50-249,HA0 4QB,E09000005
"The Modern House","Other professional, scientific & tech",50-249,SE1 0QX,E09000028
"Steppes Travel","Travel agency & related",10-49,GL7 1QD,E07000079
"Kit and Kin Ltd","Personal care products",1-9,BR3 6NE,E09000006
"Paddocks Farm Partnership Holdings Limited","Food products",10-49,TA4 2HQ,E06000066
"Downing LLP","Equity investing - Developed Markets",50-249,EC3R 6HD,E09000001
"Telic Advisory Limited","Accounting & auditing",1-9,HA1 2EN,E09000015
"Investment Quorum Ltd","Investment advising",10-49,EC2V7NQ,E09000001
"Mobsta Ltd","Other info service activities",10-49,W1T 4QA,E09000007
"Holy Moly Ltd","Food products",1-9,MK14 6LS,E06000042
"Polar Creative","Management  consultant - for-profits",1-9,CM2 7JA,E07000070
"Born Social Limited","Advertising & market research",50-249,EC2A 3NG,E09000012
"AgencyUK","Advertising & market research",10-49,BA15BT,E06000022
"Reddico SEO Agency","Advertising & market research",10-49,TN12 6RR,E07000116
